CCSDS_OEM_VERS = 2.0
CREATION_DATE  = 2026-09-19T15:15:51.545
ORIGINATOR     = ORBINAUTS ENGINE ORACLE

META_START
OBJECT_NAME          = ISS
OBJECT_ID            = 1998-067-A
CENTER_NAME          = Earth
REF_FRAME            = EME2000
TIME_SYSTEM          = UTC
START_TIME           = 2026-09-19T12:00:00.000
USEABLE_START_TIME   = 2026-09-19T12:00:00.000
USEABLE_STOP_TIME    = 2026-09-21T13:00:00.000
STOP_TIME            = 2026-09-21T13:00:00.000
META_STOP

COMMENT Simulated data: every vector here was computed by oracle/ephemeris.py with Skyfield from published Elements and a made-up reboost.
COMMENT It follows the layout of NASA's ISS Ephemeris file but is not NASA's and describes no real trajectory.
COMMENT Units are in kg and m^2
COMMENT MASS=468853.80
COMMENT DRAG_AREA=1138.30
COMMENT DRAG_COEFF=1.80
COMMENT Begin sequence of events
COMMENT TRAJECTORY EVENT SUMMARY:
COMMENT 
COMMENT |       EVENT        |       TIG        | ORB |   DV    |   HA    |   HP    |
COMMENT |                    |       GMT        |     |   M/S   |   KM    |   KM    |
COMMENT =============================================================================
COMMENT  Simulated_Reboost    263:12:00:00.000             0.8     424.6     416.5
COMMENT =============================================================================
COMMENT End sequence of events
2026-09-20T12:09:00.000 3879.492149484 3808.286484250 -4087.526055365 -6.228941011507 2.218466170404 -3.854101526152
2026-09-20T12:10:00.000 3497.208906550 3932.623685178 -4309.264277074 -6.509010874226 1.924567313432 -3.534390114261
2026-09-20T12:12:00.000 2686.707079928 4127.122052117 -4692.816725960 -6.978825442618 1.312244862538 -2.848519401772
2026-09-20T12:16:00.000 934.875722362 4289.017079933 -5198.001967416 -7.531084415400 0.028966344232 -1.336051849585
2026-09-20T12:20:00.000 -884.534670300 4140.955682618 -5326.474366744 -7.538769059540 -1.255200202043 0.271794212438
2026-09-20T12:24:00.000 -2640.063440335 3693.818125444 -5069.151641124 -7.001977177783 -2.448388975894 1.859553832217
2026-09-20T12:28:00.000 -4204.886243637 2979.875845590 -4444.636623184 -5.959027165399 -3.465192283261 3.313266067315
2026-09-20T12:32:00.000 -5465.744429657 2050.547172255 -3497.938785410 -4.484072570225 -4.232374469300 4.528092159871
2026-09-20T12:36:00.000 -6331.041620150 972.841559146 -2297.397840708 -2.682524405064 -4.694045219066 5.415629722138
2026-09-20T12:40:00.000 -6737.565377295 -175.340930486 -929.926237788 -0.684164050421 -4.815956598118 5.910517687414
2026-09-20T12:44:00.000 -6655.285434101 -1310.788509131 505.187083191 1.365946610385 -4.588441880591 5.975705033275
2026-09-20T12:48:00.000 -6089.755599358 -2351.049166204 1903.505516801 3.318215951809 -4.027511997061 5.605680381424
2026-09-20T12:52:00.000 -5081.831944467 -3220.512695150 3163.147524100 5.029947476511 -3.173821686734 4.827131258796
2026-09-20T12:56:00.000 -3704.689441095 -3855.990505550 4192.320400189 6.376224606566 -2.089553601079 3.696885578943
2026-09-20T13:00:00.000 -2058.404084351 -4211.333545958 4916.059819885 7.259149986542 -0.853604477573 2.297428713968
2026-09-20T13:04:00.000 -262.591243826 -4260.748064794 5281.661109957 7.614717959198 0.444347185924 0.730601840786
2026-09-20T13:08:00.000 1552.290674609 -4000.611865023 5262.447988076 7.417054627756 1.710314934139 -0.889835989516
2026-09-20T13:12:00.000 3254.339954565 -3449.717127764 4859.677225460 6.680066606951 2.852584525688 -2.446224423642
2026-09-20T13:16:00.000 4719.706062840 -2647.951166193 4102.489938589 5.456597130484 3.788114062086 -3.825216445478
2026-09-20T13:20:00.000 5841.583069853 -1653.487438607 3045.899413911 3.835078201337 4.448505137659 -4.925876464922
2026-09-20T13:24:00.000 6538.091182679 -538.628040712 1766.889866199 1.933593949134 4.785198907559 -5.667237259959
2026-09-20T13:28:00.000 6758.426203487 615.460369885 358.826820842 -0.108583772188 4.773407685797 -5.994686458296
2026-09-20T13:32:00.000 6486.714315345 1724.748570828 -1075.449859423 -2.141532133110 4.414245587429 -5.884428883378
2026-09-20T13:36:00.000 5743.178527540 2708.600517632 -2431.305337822 -4.016344291565 3.734670444147 -5.345378110890
2026-09-20T13:40:00.000 4582.495089196 3495.742466870 -3610.100870604 -5.596654330051 2.785179476351 -4.418191414997
2026-09-20T13:44:00.000 3089.529736735 4029.438426093 -4526.425706341 -6.768760581941 1.635586478147 -3.171648873205
2026-09-20T13:48:00.000 1372.907842991 4271.480598508 -5114.199548894 -7.449449626936 0.369483723073 -1.696984813347
2026-09-20T13:52:00.000 -442.975397156 4204.760258104 -5331.246628134 -7.591156401480 -0.921947690403 -0.100946695684
2026-09-20T13:56:00.000 -2226.869067013 3834.329799708 -5162.121056065 -7.184545283445 -2.146255480723 1.501742875012
2026-09-20T14:00:00.000 -3849.917658974 3186.965533493 -4619.096935959 -6.258780199027 -3.215859493674 2.996092414315
2026-09-20T14:04:00.000 -5194.719597693 2309.292300129 -3741.311898711 -4.879659881702 -4.053871655632 4.274495925619
2026-09-20T14:08:00.000 -6163.680739034 1264.564168438 -2592.097603313 -3.145586950015 -4.599439459301 5.244144604574
2026-09-20T14:12:00.000 -6686.126724324 128.247580106 -1254.593056415 -1.181240521527 -4.812318884809 5.833843901958
2026-09-20T14:16:00.000 -6723.620476869 -1017.355622462 174.150355946 0.871018675222 -4.676219618823 5.999652989344
2026-09-20T14:20:00.000 -6272.983048017 -2089.089486962 1590.204783737 2.861581319792 -4.200419210379 5.728641030962
2026-09-20T14:24:00.000 -5366.675934330 -3009.067029111 2890.415027066 4.644966303042 -3.419291898491 5.040167209094
2026-09-20T14:28:00.000 -4070.457896129 -3710.422592617 3980.028949965 6.090951542866 -2.389710683073 3.984436845493
2026-09-20T14:32:00.000 -2478.518002023 -4142.213453134 4779.670608660 7.094297197517 -1.186631218288 2.638530783420
2026-09-20T14:36:00.000 -706.530606721 -4273.096613972 5231.110134098 7.582233494452 0.102595303765 1.100460917119
2026-09-20T14:40:00.000 1116.777493378 -4093.547709552 5301.438109737 7.519345780079 1.384588595240 -0.518061928099
2026-09-20T14:44:00.000 2858.915933352 -3616.519421687 4985.410756579 6.909846058404 2.566511506885 -2.099550301888
2026-09-20T14:48:00.000 4393.161192654 -2876.530831232 4305.854666508 5.797335318454 3.562533591970 -3.528936197480
2026-09-20T14:52:00.000 5607.732179180 -1927.243190367 3312.103907462 4.262074261117 4.299941463515 -4.701726777093
2026-09-20T14:56:00.000 6414.004444836 -837.641721041 2076.521652764 2.415678095710 4.724581562283 -5.531734140479
2026-09-20T15:00:00.000 6753.140195313 312.964415726 689.273326562 0.393235940543 4.805175631067 -5.957796805840
2026-09-20T15:04:00.000 6600.547394705 1440.788568754 -748.319372688 -1.656800165901 4.535966035624 -5.948751296324
2026-09-20T15:08:00.000 5967.722326766 2463.800813978 -2131.335825811 -3.584124515164 3.937245463964 -5.505958121251
2026-09-20T15:12:00.000 4901.281709607 3307.816235868 -3359.083016407 -5.248263910219 3.053619692080 -4.662995234398
2026-09-20T15:16:00.000 3479.300548953 3911.913654738 -4342.512237587 -6.529142773023 1.950239137891 -3.482606905506
2026-09-20T15:20:00.000 1805.354853215 4232.759009699 -5010.624154705 -7.335518911227 0.707550249583 -2.051439468054
